"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_identification","provisional_no_dl","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"1578","VILLAGE OF EAGLE WAUKESHA","WAUKESHA","VILLAGE OF EAGLE",1252,37,111,1144,1146,1144,0,0,8,0,0,0,2,5,0,0,0,0,300,272,2,0,26,298,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1579","VILLAGE OF EAST TROY WALWORTH","WALWORTH","VILLAGE OF EAST TROY",2733,83,341,2452,2452,0,2452,0,37,0,1,0,13,10,0,0,0,0,606,468,4,3,602,602,0,0,0,0,0,1,3,0,0,3,3,0,0,1,0,0,1,1,0,0
"1580","VILLAGE OF EASTMAN CRAWFORD","CRAWFORD","VILLAGE OF EASTMAN",217,0,28,181,181,32,0,149,3,0,0,0,0,1,0,0,0,0,10,6,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581","VILLAGE OF EDEN FOND DU LAC","FOND DU LAC","VILLAGE OF EDEN",463,3,68,400,400,0,400,0,3,0,0,0,0,1,0,0,0,0,17,10,0,0,17,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1582","VILLAGE OF EDGAR MARATHON","MARATHON","VILLAGE OF EDGAR",867,0,80,753,754,754,0,0,12,0,0,0,1,6,0,0,0,0,83,68,0,0,83,83,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0
"1583","VILLAGE OF EGG HARBOR DOOR","DOOR","VILLAGE OF EGG HARBOR",237,7,5,205,205,0,205,0,6,0,0,0,0,1,0,0,0,0,68,55,0,0,68,68,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"1584","VILLAGE OF ELAND SHAWANO","SHAWANO","VILLAGE OF ELAND",138,0,7,113,113,108,0,5,5,0,0,0,2,2,0,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1585","VILLAGE OF ELDERON MARATHON","MARATHON","VILLAGE OF ELDERON",102,0,18,94,94,0,94,0,3,0,0,0,0,2,0,0,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1586","VILLAGE OF ELEVA TREMPEALEAU","TREMPEALEAU","VILLAGE OF ELEVA",356,0,44,313,313,28,0,285,5,0,0,0,1,2,0,0,0,0,24,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1587","VILLAGE OF ELK MOUND DUNN","DUNN","VILLAGE OF ELK MOUND",470,3,52,359,359,0,127,232,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1588","VILLAGE OF ELKHART LAKE SHEBOYGAN","SHEBOYGAN","VILLAGE OF ELKHART LAKE",802,9,44,716,716,0,550,166,10,0,0,0,0,4,0,0,0,0,176,152,1,0,175,175,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"1589","VILLAGE OF ELLSWORTH PIERCE","PIERCE","VILLAGE OF ELLSWORTH",1774,36,214,1396,1396,4,936,456,11,0,0,0,4,3,0,0,0,0,247,190,0,0,247,247,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"1590","VILLAGE OF ELM GROVE WAUKESHA","WAUKESHA","VILLAGE OF ELM GROVE",4896,118,187,4361,4361,0,4361,0,23,0,0,1,11,3,0,0,0,0,1770,1290,34,18,1705,1705,3,4,0,0,0,0,4,0,0,4,4,0,0,11,2,0,9,9,0,0
"1591","VILLAGE OF ELMWOOD PARK RACINE","RACINE","VILLAGE OF ELMWOOD PARK",381,3,30,332,332,0,332,0,8,0,0,0,1,3,0,0,0,0,41,32,1,0,40,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1592","VILLAGE OF ELMWOOD PIERCE","PIERCE","VILLAGE OF ELMWOOD",431,17,67,391,391,0,38,353,10,0,0,0,4,5,0,0,0,0,40,17,0,0,40,38,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"1593","VILLAGE OF EMBARRASS WAUPACA","WAUPACA","VILLAGE OF EMBARRASS",177,1,8,162,162,14,0,148,4,0,0,0,0,0,0,0,0,0,9,7,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594","VILLAGE OF ENDEAVOR MARQUETTE","MARQUETTE","VILLAGE OF ENDEAVOR",239,2,26,184,184,11,0,173,6,0,0,0,3,3,0,0,0,9,6,0,0,0,9,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1595","VILLAGE OF EPHRAIM DOOR","DOOR","VILLAGE OF EPHRAIM",294,2,6,248,248,248,0,0,8,0,0,0,2,3,1,0,0,1,72,52,1,0,71,69,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"1596","VILLAGE OF ETTRICK TREMPEALEAU","TREMPEALEAU","VILLAGE OF ETTRICK",307,0,40,271,271,23,0,248,9,0,0,0,0,5,0,0,0,0,17,6,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1597","VILLAGE OF EXELAND SAWYER","SAWYER","VILLAGE OF EXELAND",94,1,16,89,89,29,0,60,5,0,0,1,0,2,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1598","VILLAGE OF FAIRCHILD EAU CLAIRE","EAU CLAIRE","VILLAGE OF FAIRCHILD",250,2,33,201,201,0,110,91,7,0,0,0,2,3,0,0,0,0,6,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1599","VILLAGE OF FAIRWATER FOND DU LAC","FOND DU LAC","VILLAGE OF FAIRWATER",194,0,16,164,164,0,164,0,5,0,0,0,1,2,0,0,0,0,8,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600","VILLAGE OF FALL CREEK EAU CLAIRE","EAU CLAIRE","VILLAGE OF FALL CREEK",839,5,100,743,743,614,129,0,9,0,0,0,2,2,0,0,0,0,128,91,1,0,127,125,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"1601","VILLAGE OF FALL RIVER COLUMBIA","COLUMBIA","VILLAGE OF FALL RIVER",927,28,123,809,809,0,809,0,6,0,0,0,1,2,0,0,0,0,94,79,1,2,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1602","VILLAGE OF FENWOOD MARATHON","MARATHON","VILLAGE OF FENWOOD",93,0,9,82,78,0,78,0,6,0,0,0,2,2,0,0,0,0,5,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1603","VILLAGE OF FERRYVILLE CRAWFORD","CRAWFORD","VILLAGE OF FERRYVILLE",130,0,12,126,126,14,0,112,6,0,0,0,0,4,0,0,0,0,13,0,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1604","VILLAGE OF FONTANA WALWORTH","WALWORTH","VILLAGE OF FONTANA",1167,30,76,996,996,0,996,0,9,0,0,0,0,5,0,0,0,0,254,187,2,0,252,250,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,0
"1605","VILLAGE OF FOOTVILLE ROCK","ROCK","VILLAGE OF FOOTVILLE",513,6,38,410,410,0,410,0,11,0,0,0,3,8,0,0,0,0,556,31,3,0,52,52,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1606","VILLAGE OF FORESTVILLE DOOR","DOOR","VILLAGE OF FORESTVILLE",281,0,33,254,254,0,254,0,5,0,0,0,0,5,0,0,0,0,15,4,2,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1607","VILLAGE OF FOX CROSSING WINNEBAGO","WINNEBAGO","VILLAGE OF FOX CROSSING",6765,247,711,6076,6076,0,6076,0,48,0,0,0,15,26,0,1,0,1,2870,2549,27,4,2816,2798,3,5,0,0,0,0,3,1,0,0,1,0,0,7,0,0,6,7,0,0
"1608","VILLAGE OF FOX POINT MILWAUKEE","MILWAUKEE","VILLAGE OF FOX POINT",5226,133,1153,4543,4543,0,4543,0,57,0,1,1,14,19,0,0,0,0,2249,1851,32,6,2175,2171,3,11,0,0,0,0,2,0,0,2,2,0,0,40,1,0,33,34,1,2
"1609","VILLAGE OF FRANCIS CREEK MANITOWOC","MANITOWOC","VILLAGE OF FRANCIS CREEK",412,0,25,357,357,0,0,0,3,0,0,0,0,0,0,0,0,0,36,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1610","VILLAGE OF FREDERIC POLK","POLK","VILLAGE OF FREDERIC",587,0,87,521,521,281,0,240,9,0,1,2,6,0,0,0,0,0,64,21,2,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1611","VILLAGE OF FREDONIA OZAUKEE","OZAUKEE","VILLAGE OF FREDONIA",1417,21,156,1259,1259,1259,0,0,14,0,0,0,2,10,0,0,0,0,204,150,3,0,200,199,1,1,0,0,0,0,5,1,0,4,4,0,0,3,0,0,3,3,0,0
"1612","VILLAGE OF FREMONT WAUPACA","WAUPACA","VILLAGE OF FREMONT",474,3,64,434,434,81,0,353,9,0,0,1,0,5,0,0,0,0,63,41,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"1613","VILLAGE OF FRIENDSHIP ADAMS","ADAMS","VILLAGE OF FRIENDSHIP",342,19,40,286,286,286,0,0,5,0,0,0,1,4,0,0,0,0,57,45,0,0,57,57,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1614","VILLAGE OF FRIESLAND COLUMBIA","COLUMBIA","VILLAGE OF FRIESLAND",194,3,15,164,164,0,164,0,4,0,0,0,0,0,0,0,0,0,14,7,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1615","VILLAGE OF GAYS MILLS CRAWFORD","CRAWFORD","VILLAGE OF GAYS MILLS",313,4,15,230,230,82,0,148,6,0,0,0,0,4,0,0,0,0,36,17,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1616","VILLAGE OF GENOA CITY WALWORTH","WALWORTH","VILLAGE OF GENOA CITY",1531,46,676,1279,1279,0,1278,1,12,0,0,2,6,0,0,0,0,0,156,87,3,0,152,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1617","VILLAGE OF GENOA VERNON","VERNON","VILLAGE OF GENOA",158,0,19,134,134,15,0,111,3,0,0,0,0,3,0,0,0,0,8,7,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1618","VILLAGE OF GERMANTOWN WASHINGTON","WASHINGTON","VILLAGE OF GERMANTOWN",13869,366,965,12389,12389,0,12389,0,136,10,14,1,28,40,0,0,0,0,4659,3997,39,1,4618,4618,1,0,0,0,0,0,11,3,0,7,7,1,0,13,3,0,10,10,0,0
"1619","VILLAGE OF GILMAN TAYLOR","TAYLOR","VILLAGE OF GILMAN",237,4,13,185,185,62,0,123,5,0,0,0,1,1,0,0,0,0,22,17,0,0,22,22,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"1620","VILLAGE OF GLEN FLORA RUSK","RUSK","VILLAGE OF GLEN FLORA",48,0,9,36,36,5,0,31,3,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1621","VILLAGE OF GLENBEULAH SHEBOYGAN","SHEBOYGAN","VILLAGE OF GLENBEULAH",299,2,33,265,265,0,127,138,6,0,0,0,0,1,0,0,0,0,19,9,1,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1622","VILLAGE OF GRAFTON OZAUKEE","OZAUKEE","VILLAGE OF GRAFTON",8027,257,601,7139,7140,0,7139,0,35,0,0,0,4,10,0,0,0,0,2863,2477,12,9,2843,2842,1,6,0,0,0,0,9,3,0,6,5,1,0,13,1,0,12,11,1,0
"1623","VILLAGE OF GRANTON CLARK","CLARK","VILLAGE OF GRANTON",209,0,22,183,183,105,0,78,6,0,0,1,0,1,0,0,0,0,9,8,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1624","VILLAGE OF GRANTSBURG BURNETT","BURNETT","VILLAGE OF GRANTSBURG",743,10,282,621,621,287,0,334,14,0,0,0,1,7,0,0,0,0,89,40,0,0,85,85,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,0
"1625","VILLAGE OF GRATIOT LAFAYETTE","LAFAYETTE","VILLAGE OF GRATIOT",133,0,14,101,101,11,0,90,3,0,0,1,1,0,0,0,0,0,4,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1626","VILLAGE OF GREENDALE MILWAUKEE","MILWAUKEE","VILLAGE OF GREENDALE",9851,213,714,8718,8718,0,8718,0,54,0,0,2,9,16,0,0,0,0,2891,2199,34,14,2835,2832,3,8,0,0,0,0,10,2,0,8,8,0,0,17,1,0,16,16,0,0
"1627","VILLAGE OF GRESHAM SHAWANO","SHAWANO","VILLAGE OF GRESHAM",304,1,39,250,250,46,0,204,6,0,0,0,0,1,0,0,0,0,23,13,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1628","VILLAGE OF HALES CORNERS MILWAUKEE","MILWAUKEE","VILLAGE OF HALES CORNERS",5142,127,471,4461,4464,0,4461,0,111,0,0,0,30,60,0,0,0,0,1362,1016,19,1,1342,1341,2,6,0,0,0,1,2,0,0,1,1,0,0,6,0,0,6,6,0,0
"1629","VILLAGE OF HAMMOND ST. CROIX","ST. CROIX","VILLAGE OF HAMMOND",1004,4,143,929,929,929,0,0,3,0,0,0,1,2,0,0,0,0,159,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630","VILLAGE OF HANCOCK WAUSHARA","WAUSHARA","VILLAGE OF HANCOCK",225,0,41,196,196,19,0,177,3,0,1,0,1,1,0,0,0,0,14,6,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1631","VILLAGE OF HARRISON CALUMET","CALUMET","VILLAGE OF HARRISON",6551,212,487,5963,5963,0,5963,0,70,0,2,0,18,30,0,0,0,0,3315,2936,36,3,3262,3244,4,8,0,0,0,0,9,3,0,6,6,0,0,1,0,0,1,1,0,0
"1632","VILLAGE OF HARTLAND WAUKESHA","WAUKESHA","VILLAGE OF HARTLAND",5956,218,547,5353,5353,0,5353,0,48,0,1,0,8,18,0,0,0,0,2331,2026,26,6,2289,2282,2,1,0,0,0,0,6,1,0,5,5,0,0,8,0,0,8,8,0,0
"1633","VILLAGE OF HATLEY MARATHON","MARATHON","VILLAGE OF HATLEY",325,0,50,302,302,0,302,0,7,0,0,0,1,1,0,0,0,0,15,8,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1634","VILLAGE OF HAUGEN BARRON","BARRON","VILLAGE OF HAUGEN",0,0,26,159,159,29,0,130,4,0,0,1,1,1,0,0,0,0,4,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1635","VILLAGE OF HAWKINS RUSK","RUSK","VILLAGE OF HAWKINS",177,3,13,151,151,48,0,103,5,0,0,0,0,0,0,0,0,0,8,3,0,0,8,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1636","VILLAGE OF HAZEL GREEN GRANT","GRANT","VILLAGE OF HAZEL GREEN",584,6,71,566,566,0,355,211,8,0,0,0,1,4,0,0,0,0,53,41,1,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1637","VILLAGE OF HAZEL GREEN LAFAYETTE","LAFAYETTE","VILLAGE OF HAZEL GREEN",10,0,1,10,10,0,7,3,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1638","VILLAGE OF HEWITT WOOD","WOOD","VILLAGE OF HEWITT",516,1,53,486,486,0,486,0,3,0,0,0,0,3,0,0,0,0,25,5,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1639","VILLAGE OF HIGHLAND IOWA","IOWA","VILLAGE OF HIGHLAND",450,8,32,394,393,149,0,245,10,0,0,0,0,7,0,0,0,0,34,21,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1640","VILLAGE OF HILBERT CALUMET","CALUMET","VILLAGE OF HILBERT",616,8,46,537,537,0,537,0,6,0,0,1,1,1,0,0,0,0,52,35,6,0,46,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1641","VILLAGE OF HIXTON JACKSON","JACKSON","VILLAGE OF HIXTON",264,5,18,215,215,29,0,186,10,0,0,0,1,7,0,0,0,0,15,8,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1642","VILLAGE OF HOBART BROWN","BROWN","VILLAGE OF HOBART",5000,179,534,4657,4657,0,4657,0,26,0,0,6,14,4,0,0,0,0,2340,2040,21,0,2317,2317,2,1,0,0,0,0,6,0,0,6,6,0,0,2,0,0,0,0,0,0
"1643","VILLAGE OF HOLLANDALE IOWA","IOWA","VILLAGE OF HOLLANDALE",170,0,23,146,146,8,0,138,3,0,0,0,0,1,0,0,0,0,8,5,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644","VILLAGE OF HOLMEN LA CROSSE","LA CROSSE","VILLAGE OF HOLMEN",5453,245,587,4789,4788,0,4789,0,35,0,2,6,0,15,0,0,0,0,2077,1916,7,0,1,1,0,4,1,1,0,0,10,2,0,8,8,0,0,4,3,0,3,3,0,0
"1645","VILLAGE OF HORTONVILLE OUTAGAMIE","OUTAGAMIE","VILLAGE OF HORTONVILLE",1717,28,180,1516,1516,0,1051,465,19,0,0,2,3,9,0,0,0,0,326,272,5,0,321,321,0,0,0,0,0,0,4,1,0,3,3,0,0,2,0,0,2,2,0,0
"1646","VILLAGE OF HOWARD BROWN","BROWN","VILLAGE OF HOWARD",10778,384,1249,10410,10410,0,10410,0,282,0,7,0,67,90,0,0,0,0,3753,2748,47,9,3710,3702,6,7,2,2,0,0,19,7,0,10,10,0,2,12,0,0,11,10,1,1
"1647","VILLAGE OF HOWARDS GROVE SHEBOYGAN","SHEBOYGAN","VILLAGE OF HOWARDS GROVE",2125,47,152,1963,1963,1778,0,185,17,0,0,0,1,13,0,0,0,0,507,444,0,1,500,501,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"1648","VILLAGE OF HUSTISFORD DODGE","DODGE","VILLAGE OF HUSTISFORD",699,8,90,589,589,0,565,24,7,0,0,0,1,3,0,0,0,0,59,45,0,0,59,59,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1649","VILLAGE OF HUSTLER JUNEAU","JUNEAU","VILLAGE OF HUSTLER",97,0,20,102,102,8,0,94,3,0,0,0,0,0,0,0,0,0,3,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650","VILLAGE OF INGRAM RUSK","RUSK","VILLAGE OF INGRAM",50,0,3,33,33,9,0,24,3,0,0,0,1,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1651","VILLAGE OF IOLA WAUPACA","WAUPACA","VILLAGE OF IOLA",739,0,96,662,662,0,330,332,6,0,0,0,3,3,0,0,0,0,120,120,0,0,120,120,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1652","VILLAGE OF IRON RIDGE DODGE","DODGE","VILLAGE OF IRON RIDGE",581,7,58,491,491,0,488,3,5,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1653","VILLAGE OF IRONTON SAUK","SAUK","VILLAGE OF IRONTON",129,5,13,99,99,0,99,0,3,0,0,3,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1654","VILLAGE OF JACKSON WASHINGTON","WASHINGTON","VILLAGE OF JACKSON",4559,173,405,3937,3937,0,3937,0,30,2,4,8,8,5,0,0,0,0,1856,1333,15,5,1841,1839,2,2,0,0,0,0,4,3,0,1,1,0,0,3,2,0,1,1,0,0
"1655","VILLAGE OF JOHNSON CREEK JEFFERSON","JEFFERSON","VILLAGE OF JOHNSON CREEK",1826,50,203,1520,1520,1520,0,0,7,0,0,0,1,2,1,0,1,0,387,350,5,0,382,382,0,0,0,0,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0
"1656","VILLAGE OF JUNCTION CITY PORTAGE","PORTAGE","VILLAGE OF JUNCTION CITY",209,1,24,190,190,190,0,0,6,0,0,0,0,2,0,0,0,0,18,4,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1657","VILLAGE OF KEKOSKEE DODGE","DODGE","VILLAGE OF KEKOSKEE",104,0,8,85,85,0,30,55,3,0,0,0,2,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1658","VILLAGE OF KELLNERSVILLE MANITOWOC","MANITOWOC","VILLAGE OF KELLNERSVILLE",197,5,26,172,172,172,0,0,3,0,0,0,1,2,0,0,0,0,10,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1659","VILLAGE OF KENDALL MONROE","MONROE","VILLAGE OF KENDALL",234,2,28,202,202,14,0,188,6,0,0,0,2,4,0,0,0,0,12,6,1,0,13,13,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"1660","VILLAGE OF KENNAN PRICE","PRICE","VILLAGE OF KENNAN",86,0,5,64,64,22,0,42,3,0,0,0,0,2,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1661","VILLAGE OF KEWASKUM WASHINGTON","WASHINGTON","VILLAGE OF KEWASKUM",2551,71,307,2298,2298,0,2298,0,14,0,0,0,0,0,0,0,0,0,640,537,0,0,637,637,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"1662","VILLAGE OF KIMBERLY OUTAGAMIE","OUTAGAMIE","VILLAGE OF KIMBERLY",4142,154,365,3670,3670,0,3670,0,17,0,0,0,2,10,4,0,0,4,1647,1483,5,0,1641,1641,0,1,0,0,0,0,4,2,0,2,2,0,0,2,1,0,1,1,0,0
"1663","VILLAGE OF KINGSTON GREEN LAKE","GREEN LAKE","VILLAGE OF KINGSTON",212,0,12,170,170,8,0,162,4,0,0,0,2,1,0,0,0,0,8,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1664","VILLAGE OF KNAPP DUNN","DUNN","VILLAGE OF KNAPP",255,4,45,235,235,34,0,201,6,0,0,0,1,2,0,0,0,0,20,9,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1665","VILLAGE OF KOHLER SHEBOYGAN","SHEBOYGAN","VILLAGE OF KOHLER",1604,32,72,1386,1386,0,1236,150,12,0,0,0,3,6,0,0,0,0,395,302,8,0,387,387,0,3,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0
"1666","VILLAGE OF KRONENWETTER MARATHON","MARATHON","VILLAGE OF KRONENWETTER",4315,149,459,4131,4129,0,4131,0,16,0,0,0,1,12,0,0,0,0,1543,1389,15,0,1536,1536,0,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,0,0,0,0
"1667","VILLAGE OF LA FARGE VERNON","VERNON","VILLAGE OF LA FARGE",197,3,20,169,172,52,0,120,5,0,0,0,1,3,0,0,1,0,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1668","VILLAGE OF LAC LA BELLE WAUKESHA","WAUKESHA","VILLAGE OF LAC LA BELLE",244,0,7,207,207,207,0,0,2,0,0,0,0,2,0,0,0,0,34,6,0,34,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1669","VILLAGE OF LAKE DELTON SAUK","SAUK","VILLAGE OF LAKE DELTON",1462,29,200,1183,1184,0,1183,0,11,1,0,3,5,2,0,0,0,0,244,213,1,0,242,242,1,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0
"1670","VILLAGE OF LAKE HALLIE CHIPPEWA","CHIPPEWA","VILLAGE OF LAKE HALLIE",3874,5,559,3518,3518,0,3416,101,27,0,0,3,15,9,0,1,0,1,1227,1123,18,0,1209,1209,0,1,0,0,0,0,6,1,0,6,6,0,0,0,0,0,0,0,0,0
"1671","VILLAGE OF LAKE NEBAGAMON DOUGLAS","DOUGLAS","VILLAGE OF LAKE NEBAGAMON",821,19,76,700,700,0,700,0,3,0,0,0,0,2,0,0,0,0,127,93,0,0,127,126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"1672","VILLAGE OF LANNON WAUKESHA","WAUKESHA","VILLAGE OF LANNON",812,27,90,722,722,0,722,0,11,0,0,0,0,8,1,0,0,0,104,89,0,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1673","VILLAGE OF LAVALLE SAUK","SAUK","VILLAGE OF LAVALLE",201,3,34,176,176,0,176,0,9,0,0,1,1,3,0,0,0,0,9,4,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1674","VILLAGE OF LENA OCONTO","OCONTO","VILLAGE OF LENA",293,6,35,258,258,69,0,189,6,0,0,0,1,3,0,0,0,0,26,19,0,0,26,25,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"1675","VILLAGE OF LIME RIDGE SAUK","SAUK","VILLAGE OF LIME RIDGE",108,0,13,91,91,0,91,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1676","VILLAGE OF LINDEN IOWA","IOWA","VILLAGE OF LINDEN",251,3,33,231,231,13,0,218,5,0,0,0,2,2,0,0,0,0,12,7,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
