"","muni_county","county","municipality","registrants","late_registrants","edrs","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","absentee_issued","absentee_undeliverable","counted_absent","rejected_absent","fwab_counted","fwab_rejected","military_issued","military_undeliverable","military_counted","military_rejected","overseas_issued","overseas_undeliverable","overseas_counted","overseas_rejected","total_ballots_2008"
"1531","VILLAGE OF BROWNTOWN GREEN","GREEN","VILLAGE OF BROWNTOWN",135,0,27,131,131,0,131,0,10,0,10,0,0,0,1,0,1,0,0,0,0,0,131
"1532","VILLAGE OF BRUCE RUSK","RUSK","VILLAGE OF BRUCE",402,15,42,362,362,226,0,136,53,0,53,0,0,0,0,0,0,0,0,0,0,0,362
"1533","VILLAGE OF BUTLER WAUKESHA","WAUKESHA","VILLAGE OF BUTLER",997,69,194,1041,1041,939,0,102,194,0,188,3,1,0,0,0,0,0,0,0,0,0,1041
"1534","VILLAGE OF BUTTERNUT ASHLAND","ASHLAND","VILLAGE OF BUTTERNUT",202,4,29,186,186,183,0,3,12,0,10,0,0,0,0,0,0,0,0,0,0,0,186
"1535","VILLAGE OF CADOTT CHIPPEWA","CHIPPEWA","VILLAGE OF CADOTT",577,35,134,641,641,0,641,0,88,0,88,1,0,0,2,0,2,0,0,0,0,0,641
"1536","VILLAGE OF CALEDONIA RACINE","RACINE","VILLAGE OF CALEDONIA",19353,419,1763,14918,15992,0,14920,0,3475,4,3195,6,31,0,30,1,19,0,0,0,0,0,14918
"1537","VILLAGE OF CAMBRIA COLUMBIA","COLUMBIA","VILLAGE OF CAMBRIA",424,7,13,379,379,0,379,0,43,0,41,0,0,0,2,0,1,0,0,0,0,0,379
"1538","VILLAGE OF CAMBRIDGE DANE","DANE","VILLAGE OF CAMBRIDGE",793,43,110,802,802,0,802,0,157,0,155,0,0,0,2,0,2,0,1,0,0,0,802
"1539","VILLAGE OF CAMBRIDGE JEFFERSON","JEFFERSON","VILLAGE OF CAMBRIDGE",55,1,7,50,51,0,50,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,50
"1540","VILLAGE OF CAMERON BARRON","BARRON","VILLAGE OF CAMERON",636,37,209,756,757,2,461,293,63,63,62,1,2,0,4,1,1,0,0,0,0,0,756
"1541","VILLAGE OF CAMP DOUGLAS JUNEAU","JUNEAU","VILLAGE OF CAMP DOUGLAS",300,0,60,244,244,67,0,177,24,0,22,0,0,0,0,0,0,0,0,0,0,0,244
"1542","VILLAGE OF CAMPBELLSPORT FOND DU LAC","FOND DU LAC","VILLAGE OF CAMPBELLSPORT",1126,33,123,1079,1079,0,1079,0,205,0,205,0,0,0,3,0,3,0,0,0,0,0,1079
"1543","VILLAGE OF CASCADE SHEBOYGAN","SHEBOYGAN","VILLAGE OF CASCADE",329,8,88,403,403,0,188,215,20,6,19,3,0,0,0,0,0,0,0,0,0,0,403
"1544","VILLAGE OF CASCO KEWAUNEE","KEWAUNEE","VILLAGE OF CASCO",323,0,30,307,296,296,0,0,21,0,19,4,0,0,0,0,0,0,0,0,0,0,307
"1545","VILLAGE OF CASHTON MONROE","MONROE","VILLAGE OF CASHTON",476,15,35,493,493,298,0,195,55,0,54,0,0,0,0,0,0,0,0,0,0,0,493
"1546","VILLAGE OF CASSVILLE GRANT","GRANT","VILLAGE OF CASSVILLE",486,13,38,396,396,145,0,252,43,0,41,0,0,0,0,0,0,0,0,0,0,0,396
"1547","VILLAGE OF CATAWBA PRICE","PRICE","VILLAGE OF CATAWBA",66,4,3,54,54,54,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,54
"1548","VILLAGE OF CAZENOVIA RICHLAND","RICHLAND","VILLAGE OF CAZENOVIA",189,0,9,148,148,148,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,148
"1549","VILLAGE OF CAZENOVIA SAUK","SAUK","VILLAGE OF CAZENOVIA",11,1,2,9,9,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9
"1550","VILLAGE OF CECIL SHAWANO","SHAWANO","VILLAGE OF CECIL",306,12,46,295,295,240,0,55,36,0,36,1,0,0,0,0,0,0,0,0,0,0,295
"1551","VILLAGE OF CEDAR GROVE SHEBOYGAN","SHEBOYGAN","VILLAGE OF CEDAR GROVE",1041,1,315,1208,1209,0,1014,194,89,0,89,0,0,0,0,0,0,0,0,0,0,0,1208
"1552","VILLAGE OF CENTURIA POLK","POLK","VILLAGE OF CENTURIA",324,8,101,354,354,231,0,123,27,0,26,1,0,0,0,0,0,0,0,0,0,0,354
"1553","VILLAGE OF CHASEBURG VERNON","VERNON","VILLAGE OF CHASEBURG",162,2,22,142,142,15,0,130,8,0,8,0,0,0,0,0,0,0,0,0,0,0,142
"1554","VILLAGE OF CHENEQUA WAUKESHA","WAUKESHA","VILLAGE OF CHENEQUA",358,15,43,387,386,0,273,114,87,0,83,0,1,0,0,0,0,0,0,0,0,0,387
"1555","VILLAGE OF CLAYTON POLK","POLK","VILLAGE OF CLAYTON",168,4,52,196,196,24,0,172,6,0,6,0,0,0,0,0,0,0,0,0,0,0,196
"1556","VILLAGE OF CLEAR LAKE POLK","POLK","VILLAGE OF CLEAR LAKE",532,15,114,497,497,58,0,439,56,0,56,0,1,0,1,0,1,0,0,0,0,0,497
"1557","VILLAGE OF CLEVELAND MANITOWOC","MANITOWOC","VILLAGE OF CLEVELAND",744,32,104,792,791,792,0,0,114,0,108,2,1,0,3,0,1,0,3,0,1,0,792
"1558","VILLAGE OF CLINTON ROCK","ROCK","VILLAGE OF CLINTON",875,85,246,1043,1043,0,1043,0,132,0,130,0,0,0,6,0,5,0,0,0,0,0,1043
"1559","VILLAGE OF CLYMAN DODGE","DODGE","VILLAGE OF CLYMAN",207,4,34,205,205,205,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,205
"1560","VILLAGE OF COBB IOWA","IOWA","VILLAGE OF COBB",259,3,26,252,252,95,0,157,27,0,26,0,0,0,0,0,0,0,0,0,0,0,252
"1561","VILLAGE OF COCHRANE BUFFALO","BUFFALO","VILLAGE OF COCHRANE",245,4,47,235,235,98,0,137,9,0,7,0,0,0,0,0,0,0,0,0,0,0,235
"1562","VILLAGE OF COLEMAN MARINETTE","MARINETTE","VILLAGE OF COLEMAN",385,11,39,345,345,40,0,305,37,0,37,0,0,0,0,0,0,0,0,0,0,0,345
"1563","VILLAGE OF COLFAX DUNN","DUNN","VILLAGE OF COLFAX",563,25,99,529,529,0,405,123,85,0,85,0,3,0,1,0,1,0,0,0,0,0,529
"1564","VILLAGE OF COLOMA WAUSHARA","WAUSHARA","VILLAGE OF COLOMA",220,11,26,211,211,28,0,183,28,0,28,0,0,0,0,0,0,0,0,0,0,0,211
"1565","VILLAGE OF COMBINED LOCKS OUTAGAMIE","OUTAGAMIE","VILLAGE OF COMBINED LOCKS",1610,97,248,1842,1842,0,1842,0,558,1,544,3,1,0,3,0,3,0,0,0,0,0,1842
"1566","VILLAGE OF CONRATH RUSK","RUSK","VILLAGE OF CONRATH",50,1,9,40,40,21,0,19,4,0,2,0,0,0,0,0,0,0,0,0,0,0,40
"1567","VILLAGE OF COON VALLEY VERNON","VERNON","VILLAGE OF COON VALLEY",441,23,58,432,432,219,0,213,42,0,40,0,0,0,3,0,2,0,0,0,0,0,432
"1568","VILLAGE OF COTTAGE GROVE DANE","DANE","VILLAGE OF COTTAGE GROVE",4346,189,436,3460,3463,0,3460,0,1460,1,1446,3,2,0,5,1,4,0,0,0,0,0,3460
"1569","VILLAGE OF COUDERAY SAWYER","SAWYER","VILLAGE OF COUDERAY",58,0,7,52,52,4,0,48,4,0,4,0,0,0,0,0,0,0,0,0,0,0,52
"1570","VILLAGE OF CRIVITZ MARINETTE","MARINETTE","VILLAGE OF CRIVITZ",0,5,82,515,514,279,0,235,63,0,63,0,0,0,0,0,0,0,0,0,0,0,515
"1571","VILLAGE OF CROSS PLAINS DANE","DANE","VILLAGE OF CROSS PLAINS",1960,119,287,2132,2132,0,2152,0,511,2,508,0,0,0,0,0,0,0,0,0,0,0,2132
"1572","VILLAGE OF CURTISS CLARK","CLARK","VILLAGE OF CURTISS",71,2,10,64,64,35,0,29,3,0,3,0,0,0,0,0,0,0,0,0,0,0,64
"1573","VILLAGE OF DALLAS BARRON","BARRON","VILLAGE OF DALLAS",213,14,13,178,178,42,0,135,20,20,20,0,0,0,0,0,0,0,0,0,0,0,178
"1574","VILLAGE OF DANE DANE","DANE","VILLAGE OF DANE",456,9,101,480,480,0,480,0,32,0,31,0,1,0,2,0,2,0,0,0,0,0,480
"1575","VILLAGE OF DARIEN WALWORTH","WALWORTH","VILLAGE OF DARIEN",748,34,101,634,634,0,634,0,75,0,76,0,0,0,1,0,0,0,0,0,0,0,634
"1576","VILLAGE OF DE SOTO CRAWFORD","CRAWFORD","VILLAGE OF DE SOTO",56,0,8,51,51,4,0,47,3,0,3,0,0,0,0,0,0,0,0,0,0,0,51
"1577","VILLAGE OF DE SOTO VERNON","VERNON","VILLAGE OF DE SOTO",136,0,22,130,130,23,0,107,11,0,11,0,0,0,0,0,0,0,0,0,0,0,130
"1578","VILLAGE OF DEER PARK ST. CROIX","ST. CROIX","VILLAGE OF DEER PARK",104,1,32,116,116,8,0,108,8,0,8,0,0,0,0,0,0,0,0,0,0,0,116
"1579","VILLAGE OF DEERFIELD DANE","DANE","VILLAGE OF DEERFIELD",1062,18,250,1172,1174,0,1172,0,135,134,134,0,0,0,0,0,0,0,0,0,0,0,1172
"1580","VILLAGE OF DEFOREST DANE","DANE","VILLAGE OF DEFOREST",5034,320,575,4613,4613,0,4792,0,2141,0,2113,13,3,0,14,2,8,0,10,2,0,0,4613
"1581","VILLAGE OF DENMARK BROWN","BROWN","VILLAGE OF DENMARK",1045,29,126,1091,1091,1089,0,2,138,0,135,0,1,0,3,0,3,0,0,0,0,0,1091
"1582","VILLAGE OF DICKEYVILLE GRANT","GRANT","VILLAGE OF DICKEYVILLE",511,15,118,560,560,0,328,232,47,0,46,0,0,0,1,0,0,0,0,0,0,0,560
"1583","VILLAGE OF DORCHESTER CLARK","CLARK","VILLAGE OF DORCHESTER",387,6,36,326,326,326,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,326
"1584","VILLAGE OF DORCHESTER MARATHON","MARATHON","VILLAGE OF DORCHESTER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1585","VILLAGE OF DOUSMAN WAUKESHA","WAUKESHA","VILLAGE OF DOUSMAN",1324,63,185,1228,1228,0,1228,0,275,0,251,2,0,0,1,0,1,0,0,0,0,0,1228
"1586","VILLAGE OF DOWNING DUNN","DUNN","VILLAGE OF DOWNING",77,0,38,102,97,1,0,96,5,0,5,0,0,0,0,0,0,0,0,0,0,0,102
"1587","VILLAGE OF DOYLESTOWN COLUMBIA","COLUMBIA","VILLAGE OF DOYLESTOWN",149,1,28,154,154,0,154,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,154
"1588","VILLAGE OF DRESSER POLK","POLK","VILLAGE OF DRESSER",397,21,106,421,421,246,0,174,27,0,25,0,0,0,0,0,0,0,0,0,0,0,421
"1589","VILLAGE OF EAGLE WAUKESHA","WAUKESHA","VILLAGE OF EAGLE",1013,67,131,1076,1075,0,1076,0,178,0,171,2,1,1,0,0,0,0,0,0,0,0,1076
"1590","VILLAGE OF EAST TROY WALWORTH","WALWORTH","VILLAGE OF EAST TROY",2441,117,349,2275,2276,0,2278,0,401,0,385,1,0,0,5,0,4,0,5,0,4,0,2275
"1591","VILLAGE OF EASTMAN CRAWFORD","CRAWFORD","VILLAGE OF EASTMAN",185,2,41,190,190,58,0,132,14,0,14,0,0,0,0,0,0,0,0,0,0,0,190
"1592","VILLAGE OF EDEN FOND DU LAC","FOND DU LAC","VILLAGE OF EDEN",326,24,121,404,404,0,404,0,20,0,19,0,0,0,1,0,0,0,1,0,0,0,404
"1593","VILLAGE OF EDGAR MARATHON","MARATHON","VILLAGE OF EDGAR",708,78,112,743,743,0,243,0,90,0,90,0,0,0,0,0,0,0,0,0,0,0,743
"1594","VILLAGE OF EGG HARBOR DOOR","DOOR","VILLAGE OF EGG HARBOR",229,7,11,192,192,0,161,31,62,0,59,1,2,0,0,0,0,0,0,0,0,0,192
"1595","VILLAGE OF ELAND SHAWANO","SHAWANO","VILLAGE OF ELAND",164,1,9,139,139,133,0,6,14,0,14,0,0,0,0,0,0,0,0,0,0,0,139
"1596","VILLAGE OF ELDERON MARATHON","MARATHON","VILLAGE OF ELDERON",77,3,21,86,86,0,77,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,86
"1597","VILLAGE OF ELEVA TREMPEALEAU","TREMPEALEAU","VILLAGE OF ELEVA",251,17,82,315,314,36,0,279,28,0,28,0,0,0,0,0,0,0,0,0,0,0,315
"1598","VILLAGE OF ELK MOUND DUNN","DUNN","VILLAGE OF ELK MOUND",341,22,18,412,412,0,205,207,33,0,31,0,0,0,1,0,0,0,0,0,0,0,412
"1599","VILLAGE OF ELKHART LAKE SHEBOYGAN","SHEBOYGAN","VILLAGE OF ELKHART LAKE",726,20,50,672,672,0,628,44,114,0,113,0,2,0,2,0,1,0,0,0,0,0,672
"1600","VILLAGE OF ELLSWORTH PIERCE","PIERCE","VILLAGE OF ELLSWORTH",1775,37,201,1504,1503,2,1486,16,176,0,173,0,2,0,2,0,2,0,0,0,0,0,1504
"1601","VILLAGE OF ELM GROVE WAUKESHA","WAUKESHA","VILLAGE OF ELM GROVE",4865,125,184,4259,4259,0,4259,0,1581,1533,1533,0,26,0,0,0,0,0,0,0,0,0,4259
"1602","VILLAGE OF ELMWOOD PARK RACINE","RACINE","VILLAGE OF ELMWOOD PARK",349,0,39,333,333,0,333,0,30,1,27,2,0,0,0,0,0,0,0,0,0,0,333
"1603","VILLAGE OF ELMWOOD PIERCE","PIERCE","VILLAGE OF ELMWOOD",501,22,39,434,434,3,66,364,48,0,48,0,3,0,0,0,0,0,1,0,1,0,434
"1604","VILLAGE OF EMBARRASS WAUPACA","WAUPACA","VILLAGE OF EMBARRASS",173,1,25,171,171,38,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,171
"1605","VILLAGE OF ENDEAVOR MARQUETTE","MARQUETTE","VILLAGE OF ENDEAVOR",291,3,35,218,218,24,0,0,19,0,18,0,1,0,0,0,0,0,0,0,0,0,218
"1606","VILLAGE OF EPHRAIM DOOR","DOOR","VILLAGE OF EPHRAIM",290,2,10,253,253,0,250,3,57,0,57,0,7,0,0,0,0,0,0,0,0,0,253
"1607","VILLAGE OF ETTRICK TREMPEALEAU","TREMPEALEAU","VILLAGE OF ETTRICK",295,4,32,249,249,109,0,140,19,0,19,0,1,0,0,0,0,0,0,0,0,0,249
"1608","VILLAGE OF EXELAND SAWYER","SAWYER","VILLAGE OF EXELAND",117,1,8,89,89,47,0,42,6,0,6,0,0,0,0,0,0,0,0,0,0,0,89
"1609","VILLAGE OF FAIRCHILD EAU CLAIRE","EAU CLAIRE","VILLAGE OF FAIRCHILD",223,2,49,219,219,0,147,72,11,0,11,0,0,0,0,0,0,0,0,0,0,0,219
"1610","VILLAGE OF FAIRWATER FOND DU LAC","FOND DU LAC","VILLAGE OF FAIRWATER",204,2,29,182,182,0,182,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,182
"1611","VILLAGE OF FALL CREEK EAU CLAIRE","EAU CLAIRE","VILLAGE OF FALL CREEK",640,21,142,722,722,0,655,67,106,1,98,0,1,0,2,0,1,0,0,0,0,0,722
"1612","VILLAGE OF FALL RIVER COLUMBIA","COLUMBIA","VILLAGE OF FALL RIVER",627,50,131,711,711,0,711,0,92,0,92,0,1,0,4,0,4,0,0,0,0,0,711
"1613","VILLAGE OF FENWOOD MARATHON","MARATHON","VILLAGE OF FENWOOD",79,0,14,93,93,0,0,93,8,0,8,0,0,0,0,0,0,0,0,0,0,0,93
"1614","VILLAGE OF FERRYVILLE CRAWFORD","CRAWFORD","VILLAGE OF FERRYVILLE",142,0,3,118,118,19,0,99,14,0,14,0,0,0,0,0,0,0,0,0,0,0,118
"1615","VILLAGE OF FONTANA WALWORTH","WALWORTH","VILLAGE OF FONTANA",1122,32,43,957,957,0,957,0,266,0,259,0,5,0,1,0,1,0,0,0,0,0,957
"1616","VILLAGE OF FOOTVILLE ROCK","ROCK","VILLAGE OF FOOTVILLE",393,7,64,383,383,0,393,0,32,0,31,1,0,0,0,0,0,0,0,0,0,0,383
"1617","VILLAGE OF FORESTVILLE DOOR","DOOR","VILLAGE OF FORESTVILLE",231,2,20,253,253,0,253,0,22,0,22,0,0,0,1,0,1,0,0,0,0,0,253
"1618","VILLAGE OF FOX POINT MILWAUKEE","MILWAUKEE","VILLAGE OF FOX POINT",5152,198,319,4576,4576,0,4575,1,2139,2,2112,5,20,0,4,1,1,0,0,0,0,0,4576
"1619","VILLAGE OF FRANCIS CREEK MANITOWOC","MANITOWOC","VILLAGE OF FRANCIS CREEK",377,9,42,370,370,0,370,0,49,0,46,0,0,0,0,0,0,0,0,0,0,0,370
"1620","VILLAGE OF FREDERIC POLK","POLK","VILLAGE OF FREDERIC",578,37,96,565,565,565,0,0,66,0,66,0,0,0,0,0,0,0,0,0,0,0,565
"1621","VILLAGE OF FREDONIA OZAUKEE","OZAUKEE","VILLAGE OF FREDONIA",1235,65,197,1231,1231,0,1156,75,192,1,191,4,3,0,5,1,0,0,5,0,3,0,1231
"1622","VILLAGE OF FREMONT WAUPACA","WAUPACA","VILLAGE OF FREMONT",461,15,52,413,413,189,0,224,62,0,62,0,0,0,0,0,0,0,0,0,0,0,413
"1623","VILLAGE OF FRIENDSHIP ADAMS","ADAMS","VILLAGE OF FRIENDSHIP",358,6,33,311,311,311,0,0,73,0,73,1,1,1,0,0,0,0,0,0,0,0,311
"1624","VILLAGE OF FRIESLAND COLUMBIA","COLUMBIA","VILLAGE OF FRIESLAND",191,6,22,186,186,0,186,0,6,0,6,0,1,0,0,0,0,0,0,0,0,0,186
"1625","VILLAGE OF GAYS MILLS CRAWFORD","CRAWFORD","VILLAGE OF GAYS MILLS",331,8,30,284,284,139,0,145,24,0,24,0,1,0,0,0,0,0,0,0,0,0,284
"1626","VILLAGE OF GENOA CITY KENOSHA","KENOSHA","VILLAGE OF GENOA CITY",2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1627","VILLAGE OF GENOA CITY WALWORTH","WALWORTH","VILLAGE OF GENOA CITY",1564,71,174,1264,1264,0,1263,1,157,0,3,3,0,0,1,0,0,0,0,0,0,0,1264
"1628","VILLAGE OF GENOA VERNON","VERNON","VILLAGE OF GENOA",126,2,28,146,146,54,0,92,9,0,9,0,0,0,0,0,0,0,0,0,0,0,146
"1629","VILLAGE OF GERMANTOWN WASHINGTON","WASHINGTON","VILLAGE OF GERMANTOWN",13474,481,1179,11917,11917,0,11917,0,4123,1,3268,14,7,0,10,1,4,0,10,1,0,0,11917
"1630","VILLAGE OF GILMAN TAYLOR","TAYLOR","VILLAGE OF GILMAN",228,2,31,209,209,98,0,111,34,0,34,0,0,0,0,0,0,0,0,0,0,0,209
"1631","VILLAGE OF GLEN FLORA RUSK","RUSK","VILLAGE OF GLEN FLORA",32,0,5,30,30,6,0,24,5,1,2,1,0,0,0,0,0,0,0,0,0,0,30
"1632","VILLAGE OF GLENBEULAH SHEBOYGAN","SHEBOYGAN","VILLAGE OF GLENBEULAH",266,1,60,283,283,0,179,104,12,0,12,0,0,0,3,0,0,0,1,0,0,0,283
"1633","VILLAGE OF GRAFTON OZAUKEE","OZAUKEE","VILLAGE OF GRAFTON",8392,379,805,7007,7006,0,7007,0,2516,1,2485,2,13,0,3,0,2,0,4,0,0,0,7007
"1634","VILLAGE OF GRANTON CLARK","CLARK","VILLAGE OF GRANTON",201,4,20,189,189,90,89,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,189
"1635","VILLAGE OF GRANTSBURG BURNETT","BURNETT","VILLAGE OF GRANTSBURG",664,19,117,677,677,436,0,241,93,0,88,0,2,0,1,0,0,0,1,0,0,0,677
"1636","VILLAGE OF GRATIOT LAFAYETTE","LAFAYETTE","VILLAGE OF GRATIOT",123,2,20,127,127,25,0,102,9,0,9,0,0,0,0,0,0,0,0,0,0,0,127
"1637","VILLAGE OF GREENDALE MILWAUKEE","MILWAUKEE","VILLAGE OF GREENDALE",10599,311,797,8961,8912,0,8928,33,2520,5,2388,7,12,1,15,0,8,4,11,0,0,0,8961
"1638","VILLAGE OF GRESHAM SHAWANO","SHAWANO","VILLAGE OF GRESHAM",321,3,43,256,256,0,147,109,14,1,13,0,0,0,0,0,0,0,0,0,0,0,256
"1639","VILLAGE OF HALES CORNERS MILWAUKEE","MILWAUKEE","VILLAGE OF HALES CORNERS",5162,246,551,4606,4604,0,4606,0,1225,18,1187,3,6,0,0,0,0,0,2,2,0,0,4606
"1640","VILLAGE OF HAMMOND ST. CROIX","ST. CROIX","VILLAGE OF HAMMOND",932,27,221,955,955,931,24,0,84,0,83,0,0,0,1,0,0,0,0,0,0,0,955
"1641","VILLAGE OF HANCOCK WAUSHARA","WAUSHARA","VILLAGE OF HANCOCK",179,16,48,213,213,83,0,130,30,0,30,0,0,0,0,0,0,0,0,0,0,0,213
"1642","VILLAGE OF HARTLAND WAUKESHA","WAUKESHA","VILLAGE OF HARTLAND",5958,296,671,5108,5106,0,5103,5,1789,19,1712,58,13,1,8,0,6,0,2,0,2,0,5108
"1643","VILLAGE OF HATLEY MARATHON","MARATHON","VILLAGE OF HATLEY",204,2,92,278,278,281,0,0,11,0,11,0,0,0,1,0,1,0,0,0,0,0,278
"1644","VILLAGE OF HAUGEN BARRON","BARRON","VILLAGE OF HAUGEN",188,0,23,159,159,0,85,0,12,0,11,2,0,0,1,0,0,0,0,0,0,0,159
"1645","VILLAGE OF HAWKINS RUSK","RUSK","VILLAGE OF HAWKINS",212,4,7,164,164,78,0,86,5,0,5,0,0,0,0,0,0,0,0,0,0,0,164
"1646","VILLAGE OF HAZEL GREEN GRANT","GRANT","VILLAGE OF HAZEL GREEN",576,29,54,573,573,336,0,237,38,0,37,0,0,0,1,0,1,0,0,0,0,0,573
"1647","VILLAGE OF HAZEL GREEN LAFAYETTE","LAFAYETTE","VILLAGE OF HAZEL GREEN",11,0,3,13,13,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"1648","VILLAGE OF HEWITT WOOD","WOOD","VILLAGE OF HEWITT",463,0,62,462,462,0,462,0,20,0,18,0,0,0,0,0,0,0,1,0,1,0,462
"1649","VILLAGE OF HIGHLAND IOWA","IOWA","VILLAGE OF HIGHLAND",447,2,38,417,418,243,0,174,1,0,0,0,0,0,1,0,1,1,0,0,0,0,417
"1650","VILLAGE OF HILBERT CALUMET","CALUMET","VILLAGE OF HILBERT",595,23,62,574,574,0,524,50,61,0,60,0,0,0,0,0,0,0,0,0,0,0,574
"1651","VILLAGE OF HIXTON JACKSON","JACKSON","VILLAGE OF HIXTON",274,8,28,223,223,71,0,152,22,0,18,1,0,0,1,0,0,0,0,0,0,0,223
"1652","VILLAGE OF HOBART BROWN","BROWN","VILLAGE OF HOBART",4572,197,374,3599,3599,0,3599,0,10,0,3,0,0,0,7,0,2,0,7,0,0,0,3599
"1653","VILLAGE OF HOLLANDALE IOWA","IOWA","VILLAGE OF HOLLANDALE",173,4,15,152,152,10,0,142,10,0,8,0,0,0,0,0,0,0,0,0,0,0,152
"1654","VILLAGE OF HOLMEN LA CROSSE","LA CROSSE","VILLAGE OF HOLMEN",5116,134,712,4287,4287,0,4287,0,1700,0,1673,6,0,0,6,0,5,0,0,0,1,0,4287
"1655","VILLAGE OF HORTONVILLE OUTAGAMIE","OUTAGAMIE","VILLAGE OF HORTONVILLE",1337,40,312,1443,1443,0,1152,291,179,0,174,2,2,0,5,0,4,0,5,0,0,0,1443
"1656","VILLAGE OF HOWARD BROWN","BROWN","VILLAGE OF HOWARD",10933,610,1304,9006,9006,0,9962,4,2822,14,2699,0,8,0,12,1,6,0,12,1,1,0,9006
"1657","VILLAGE OF HOWARD OUTAGAMIE","OUTAGAMIE","VILLAGE OF HOWARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1658","VILLAGE OF HOWARDS GROVE SHEBOYGAN","SHEBOYGAN","VILLAGE OF HOWARDS GROVE",1880,102,176,1886,1885,0,1769,117,523,0,519,0,0,0,3,0,2,0,0,0,0,0,1886
"1659","VILLAGE OF HUSTISFORD DODGE","DODGE","VILLAGE OF HUSTISFORD",498,38,127,572,572,0,523,49,74,0,69,0,0,0,1,0,1,0,1,0,0,0,572
"1660","VILLAGE OF HUSTLER JUNEAU","JUNEAU","VILLAGE OF HUSTLER",112,0,22,101,101,20,0,81,5,0,5,0,0,0,0,0,0,0,0,0,0,0,101
"1661","VILLAGE OF INGRAM RUSK","RUSK","VILLAGE OF INGRAM",58,0,1,41,41,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"1662","VILLAGE OF IOLA WAUPACA","WAUPACA","VILLAGE OF IOLA",611,18,150,649,649,0,409,240,129,0,126,0,0,0,0,0,0,0,0,0,0,0,649
"1663","VILLAGE OF IRON RIDGE DODGE","DODGE","VILLAGE OF IRON RIDGE",442,15,103,484,484,0,282,2,44,0,43,0,0,0,1,0,1,0,0,0,0,0,484
"1664","VILLAGE OF IRONTON SAUK","SAUK","VILLAGE OF IRONTON",94,0,23,97,97,0,57,40,3,0,3,0,0,0,0,0,0,0,0,0,0,0,97
"1665","VILLAGE OF JACKSON WASHINGTON","WASHINGTON","VILLAGE OF JACKSON",3787,190,407,3577,3591,0,3575,2,1424,1,1402,5,3,0,4,0,1,0,1,0,1,1,3577
"1666","VILLAGE OF JOHNSON CREEK JEFFERSON","JEFFERSON","VILLAGE OF JOHNSON CREEK",1410,117,226,1303,1303,0,1303,0,268,0,265,1,3,0,2,0,1,0,0,0,0,0,1303
"1667","VILLAGE OF JUNCTION CITY PORTAGE","PORTAGE","VILLAGE OF JUNCTION CITY",199,2,49,211,211,211,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,211
"1668","VILLAGE OF KEKOSKEE DODGE","DODGE","VILLAGE OF KEKOSKEE",106,0,13,103,103,0,39,64,2,0,2,0,0,0,0,0,0,0,0,0,0,0,103
"1669","VILLAGE OF KELLNERSVILLE MANITOWOC","MANITOWOC","VILLAGE OF KELLNERSVILLE",188,1,35,190,190,190,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,190
"1670","VILLAGE OF KENDALL MONROE","MONROE","VILLAGE OF KENDALL",173,6,43,191,191,36,0,155,12,0,12,1,0,0,0,0,0,0,0,0,0,0,191
"1671","VILLAGE OF KENNAN PRICE","PRICE","VILLAGE OF KENNAN",76,1,12,70,70,70,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,70
"1672","VILLAGE OF KEWASKUM FOND DU LAC","FOND DU LAC","VILLAGE OF KEWASKUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1673","VILLAGE OF KEWASKUM WASHINGTON","WASHINGTON","VILLAGE OF KEWASKUM",1802,126,422,2073,2075,0,2070,3,538,0,528,2,0,0,5,0,4,0,0,0,1,0,2073
"1674","VILLAGE OF KIMBERLY OUTAGAMIE","OUTAGAMIE","VILLAGE OF KIMBERLY",5093,121,430,3539,3537,0,3537,2,1274,0,1266,1,3,0,7,0,5,0,2,0,1,0,3539
"1675","VILLAGE OF KINGSTON GREEN LAKE","GREEN LAKE","VILLAGE OF KINGSTON",196,3,19,178,178,16,0,162,15,0,15,0,0,0,0,0,0,0,0,0,0,0,178
